grid,month,channel,business_type,volume,fee
东城-五网格,2025-09,自开店,终端,15,9860
东城-五网格,2025-09,自开店,高价值套餐,12,4418
东城-五网格,2025-09,自开店,FTTR,2,1784
东城-五网格,2025-09,自开店,云电脑,6,4947
东城-五网格,2025-09,自开店,千兆+,4,1902
东城-五网格,2025-09,自开店,视联网,4,3496
东城-五网格,2025-10,社会渠道,新入网,13,17821
东城-五网格,2025-10,社会渠道,宽带,16,15353
东城-五网格,2025-10,社会渠道,终端,16,2039
东城-五网格,2025-10,社会渠道,高价值套餐,10,4473
东城-五网格,2025-10,社会渠道,FTTR,7,607
东城-五网格,2025-10,社会渠道,云电脑,3,18528
东城-五网格,2025-10,社会渠道,千兆+,1,4365
东城-五网格,2025-10,社会渠道,视联网,5,22052
东城-五网格,2025-10,自开店,新入网,13,1918
东城-五网格,2025-10,自开店,宽带,5,4030
东城-五网格,2025-10,自开店,终端,16,10275
东城-五网格,2025-10,自开店,高价值套餐,2,10436
东城-五网格,2025-10,自开店,FTTR,3,6115
东城-五网格,2025-10,自开店,云电脑,3,3413
东城-五网格,2025-10,自开店,千兆+,10,17323
东城-五网格,2025-10,自开店,视联网,6,2042
东城-六网格,2025-09,社会渠道,新入网,13,8513
东城-六网格,2025-09,社会渠道,宽带,13,4645
东城-六网格,2025-09,社会渠道,终端,2,5437
东城-六网格,2025-09,社会渠道,高价值套餐,11,2060
东城-六网格,2025-09,社会渠道,FTTR,4,8712
东城-六网格,2025-09,社会渠道,云电脑,8,2182
东城-六网格,2025-09,社会渠道,千兆+,2,12640
东城-六网格,2025-09,社会渠道,视联网,6,3690
东城-六网格,2025-09,自开店,新入网,30,3669
东城-六网格,2025-09,自开店,宽带,18,988
东城-六网格,2025-09,自开店,终端,13,2082
东城-六网格,2025-09,自开店,高价值套餐,12,1297
东城-六网格,2025-09,自开店,FTTR,8,2770
东城-六网格,2025-09,自开店,云电脑,10,1456
东城-六网格,2025-09,自开店,千兆+,11,990
东城-六网格,2025-09,自开店,视联网,4,6640
东城-六网格,2025-10,社会渠道,新入网,29,8274
东城-六网格,2025-10,社会渠道,宽带,18,4374
东城-六网格,2025-10,社会渠道,终端,9,13008
东城-六网格,2025-10,社会渠道,高价值套餐,3,2956
东城-六网格,2025-10,社会渠道,FTTR,1,5914
东城-六网格,2025-10,社会渠道,云电脑,6,6530
东城-六网格,2025-10,社会渠道,千兆+,9,8178
东城-六网格,2025-10,社会渠道,视联网,8,8158
东城-六网格,2025-10,自开店,新入网,11,183
东城-六网格,2025-10,自开店,宽带,6,7165
东城-六网格,2025-10,自开店,终端,14,2098
东城-六网格,2025-10,自开店,高价值套餐,3,1499
东城-六网格,2025-10,自开店,FTTR,5,4162
东城-六网格,2025-10,自开店,云电脑,0,1419
东城-六网格,2025-10,自开店,千兆+,1,20054
东城-六网格,2025-10,自开店,视联网,0,429
东城-四网格,2025-09,社会渠道,新入网,12,5646
东城-四网格,2025-09,社会渠道,宽带,24,680
东城-四网格,2025-09,社会渠道,终端,14,1636
东城-四网格,2025-09,社会渠道,高价值套餐,3,10338
东城-四网格,2025-09,社会渠道,FTTR,1,2392
东城-四网格,2025-09,社会渠道,云电脑,6,294
东城-四网格,2025-09,社会渠道,千兆+,5,6871
东城-四网格,2025-09,社会渠道,视联网,0,28737
东城-四网格,2025-09,自开店,新入网,29,3379
东城-四网格,2025-09,自开店,宽带,12,1487
东城-四网格,2025-09,自开店,终端,6,11480
东城-四网格,2025-09,自开店,高价值套餐,12,424
东城-四网格,2025-09,自开店,FTTR,6,5016
东城-四网格,2025-09,自开店,云电脑,9,10726
东城-四网格,2025-09,自开店,千兆+,3,9618
东城-四网格,2025-09,自开店,视联网,12,6912
东城-四网格,2025-10,社会渠道,新入网,15,4872
东城-四网格,2025-10,社会渠道,宽带,22,902
东城-四网格,2025-10,社会渠道,终端,6,19644
东城-四网格,2025-10,社会渠道,高价值套餐,4,22561
东城-四网格,2025-10,社会渠道,FTTR,2,6173
东城-四网格,2025-10,社会渠道,云电脑,10,1630
东城-四网格,2025-10,社会渠道,千兆+,2,9401
东城-四网格,2025-10,社会渠道,视联网,7,677
东城-四网格,2025-10,自开店,新入网,11,8731
东城-四网格,2025-10,自开店,宽带,18,6573
东城-四网格,2025-10,自开店,终端,14,11756
东城-四网格,2025-10,自开店,高价值套餐,11,6338
东城-四网格,2025-10,自开店,FTTR,5,7118
东城-四网格,2025-10,自开店,云电脑,6,157
东城-四网格,2025-10,自开店,千兆+,0,2676
东城-四网格,2025-10,自开店,视联网,11,2201
